,tweet_dt,id,username,name,tweet
8151,2022-02-13,1494117178903351300,jasoncrouch,Jason Crouch,"I just rewatched the entire halftime show from Sunday, since I could actually hear it better without talking, etc.… https://t.co/JXXgDCt0Xg"
8152,2022-02-13,1494116976251359237,weneeddj50k,50K,I’m late af but that was the best halftime show ever
8153,2022-02-13,1494116777210658822,stratosphere53,James Cooper,‘Still Not Loving Police‘: Anti-Cop Lyrics Made It Into Super Bowl Halftime Show https://t.co/fA3jAjtvBf via @BreitbartNews
8154,2022-02-13,1494116546150813699,MangoMonkey10,Matthew Dorow,"If all the boomers were this upset over this year’s halftime show, I can’t wait until Lil Nas gets his chance"
8155,2022-02-13,1494116423215374339,Pa2019G,GPa2019,"@ScottWapnerCNBC Scott,  
     I have been watching Halftime for sometime now and even got my son hooked on it.  He… https://t.co/VPsUoNeiAB"
8156,2022-02-13,1494116331117060106,sadgirlhotmess,Hopeful Sadgirl,"My upstairs neighbors keep telling me that they’re millennials and not Gen Z (for weird reasons, like they can’t be… https://t.co/XHcJPXvPC3"
8157,2022-02-13,1494116269242687489,spice_nosugar,Toni Jackson,The halftime show was cute yall but it was not the best ever. Not even close. Y’all getting old and got short memories lol
8158,2022-02-13,1494116183200747520,pixelradius,Dave Rino,https://t.co/QGkjyWdKxm Mary J. Blige Calls Backlash Over Super Bowl Halftime Show ‘Small Conversation Compared to… https://t.co/VxAYtNtJdu
8159,2022-02-13,1494116023527776256,dumbjewish,Jew Shiesty,The Super Bowl halftime show got the whole middle aged kitchen staff listening to West Coast Hip-Hop 3 days later LMAO
8160,2022-02-13,1494115999083384837,ThomasSaidSo1,ThomasSaidSo,Waiting for lil nas x halftime show
8161,2022-02-13,1494115976358416384,OhhUMad,ṨA͙I҉ⓨλ₦ ƵᎬℕⓏ,The Game should have been apart of that Halftime show but thats just my opinion
8162,2022-02-13,1494115946692169729,amberm_33,Amber Manson,As I’m walking out of work today these 2 conservative white ladies that I work with start talking about the halftim… https://t.co/MrzdaCK2ow
8163,2022-02-13,1494115920892989440,ZakitteOfficial,Zakitte,"Lol cancel culture trynna get at Snoop for smoking a joint before halftime show.
Kaleymenah boveynee kilaa fen. 
Amaa handhaan kohbala"
8164,2022-02-13,1494115795038732291,KorieSchultz,korie schultz,"LIVE 2/16/22 - Durham Report, US Truck Convoy, Super Bowl Halftime Show,... https://t.co/gPIUd4MAdq via @YouTube @wdwamy444"
8165,2022-02-13,1494115769566834694,1LoafOfMeat,Melon,"@phibetakitten As many conservatives said about the Superbowl halftime show: 

""IT'S COMPLETE SEXUAL ANARCHY!!"""
8166,2022-02-13,1494115630802509834,DcSlumdog,#FreePamMoses,@DrDre talks @Eminem taking knee in tribute to @ColinKaepernick during 2022 #SuperBowl LVI halftime show with… https://t.co/TQfpoSm9yU
8167,2022-02-13,1494115625479942145,EZEtheman3000,Eric,"Won't lie, the halftime show this past Sunday took me back to my teen years with the rap that I grew up on. For… https://t.co/9tCeJdVdxU"
8168,2022-02-13,1494115565501399046,headsupjack123,Jack 😔👀🇱🇷 LLL,new content The Super Bowl halftime show had the internet feeling intense nostalgia https://t.co/bjqCzZNmNZ
