,tweet_dt,id,username,name,tweet,hashtag,geo
228,2022-02-20,1495475548008628229,mila_lavi,milalavi,RT @dan19for: @realDonadelLuca Dopo la #forzondulatoria e il #cortocircuito ci faranno credere che si allenavano per il prossimo #SuperBowl,SuperBowl,False
229,2022-02-20,1495475522205278212,raferjr23,Rafer Jr ❼,"RT @RamsNFL: One down, three to go at the #SuperBowl! https://t.co/ZehNAsh97x",SuperBowl,False
230,2022-02-20,1495475465896841227,mmmgsmd62,"Mary Margaret Miller & Buddy, too!","RT @ChrisCharlotteG: Haha! Just like the #SuperBowl, there should be a season of puppy activities leading up to the #Puppy Bowl. 🐾 https://…",SuperBowl,True
231,2022-02-20,1495475321717641235,blesamsadang,Blesam.,RT @XXL: Kendrick Lamar’s halftime performance #SuperBowl #PepsiHalftime https://t.co/TxFbvE81gI,SuperBowl,False
232,2022-02-20,1495475197654310919,windsweptmilk7,windsweptmilk7,"RT @GalaxyImbecile: had to make a superbowl 50cent

@SmolBrainsNFT x @50cent

#50cent #superbowl #ahhrealmonsters #smolbrains #smolverse #s…",SuperBowl,False
233,2022-02-20,1495475195670249475,NICOSN21,NICSON,"RT @ArmeriaGunner: 🏈 Los Angeles Rams ganaron el #SuperBowl

Stan Kroenke ahora: https://t.co/UyFX729mYW",SuperBowl,False
234,2022-02-20,1495475167857938441,JJRavenation52,Joob Jaibot🌊,"RT @TheRock: My long time dream was to have a career in the @NFL &amp; win a #SuperBowl.
I failed at that.
But last night my dream came true..…",SuperBowl,False
235,2022-02-20,1495475120047116291,TradK,trad karim,"Après le #SuperBowl les américains vont nous faire régaler avec la #AllStarGame, c'est ça le sport",SuperBowl,False
236,2022-02-20,1495475114414153733,MellathM,Mellath Michael,RT @Aa18745738: Do you know there is a Genocide happening in #tigray Ethiopia . #tigraygenocide #savetigray . The worst humanitarian crisis…,SuperBowl,False
237,2022-02-20,1495475111326932994,Hoops227_NFL,Jamaal Al-Din,"5,316 Yds 43 TD Buccaneers' Bruce Arians Refutes Rift With Former QB 227's YouTube Chili' Tom Chili' Brady #GoBucs… https://t.co/a2SLGYhq91",SuperBowl,False
238,2022-02-20,1495474994155036674,_KyleMalone_,Kyle Malone,@fishsports @dak make him eat his words next year. 💪🏼💪🏼💪🏼 let’s get it #SuperBowl,SuperBowl,False
239,2022-02-20,1495474980112539653,El_Jeffe_10,ⒿⒺⒻⒻ ☁️,RT @TheGleef: Post a screenshot of who you got going to the Super Bowl next year! #NFL #SuperBowl https://t.co/uuIaXs2toX,SuperBowl,True
240,2022-02-20,1495474905546174465,Mindcite_US,Mindcite💥,"RT @Mindcite_US: ""We must always take sides. Neutrality helps the oppressor, never the oppressed."" -Holocaust survivor and Nobel laureate E…",SuperBowl,False
241,2022-02-20,1495474841687928833,jeffreyadp,JeffreyDiaz,"RT @heyhec: La NFL no quería que Eminem se hincara e igual lo hizo. El gesto por el que Colin Kaepernick fue expulsado, cuando lo hacía dur…",SuperBowl,False
242,2022-02-20,1495474404532588546,KenyaWrightBook,Kenya Wright,"RT @latimes: Tam’s Burgers, Dale's Donuts, Eve’s After Dark. Compton gets a bright spotlight as Dr. Dre, Snoop Dogg and Kendrick Lamar perf…",SuperBowl,True
243,2022-02-20,1495474334231584780,FlorenceCarmela,Florence Carmela,"RT @TheNolaGirl: This week on @FleursTrulyPod, we discuss the #SuperBowl, #Saints, Mike Thomas, FQ Fest, #MardiGras &amp; #FleursTruly turns 2…",SuperBowl,False
244,2022-02-20,1495473864457048066,PRforAnyone,Christina Daves,The highs and lows of #Superbowl #ads. What were your favorites? Talked about mine at foxnewsradio : … https://t.co/ObCu9jbJ5O,SuperBowl,True
245,2022-02-20,1495473848967307267,shinomurasumiko,Lukas Duong,RT @Dubsports1: #SuperBowl  OVER 62.5yds receiving Odell Beckham  risking 14 units to win 10 units,SuperBowl,False
246,2022-02-20,1495473740519510022,sbp52742765,sbp,RT @TheOklaProject: Check out our #SuperBowl ad and spread the word so that Oklahomans all across our state can learn about #CorruptKevin's…,SuperBowl,False
247,2022-02-20,1495473701034283016,emailmanROCKS,Kurt Chambers,RT @davepperlmutter: @bookingcom 🏈🏈 Honoured to be featured in this @bookingcom ad with SUPER COOL @idriselba on @YouTube #idriselba 👉 http…,SuperBowl,True
248,2022-02-20,1495473623355768845,bennie972,Vito Andolini,Next years #SuperBowl should just be @thegame doing 300 bars and runnin in full,SuperBowl,True
249,2022-02-20,1495473517751681035,shay91_,Shay 🌻🌻,"RT @HarvardHBS: Britney Winters’ (MBA 2016) online wig and hair product company, Upgrade, got the opportunity to show off its work to more…",SuperBowl,False
250,2022-02-20,1495473476655796225,TheTylerDragon,Tyler Dragon,"RT @USATSportsPlus: #SuperBowl 2022 rewind with #NFL insiders @TheTylerDragon and @Safid_Deen.

🎧Listen wherever you get your podcasts http…",SuperBowl,False
251,2022-02-20,1495473475854741508,raferjr23,Rafer Jr ❼,"RT @Bengals: He's still just a rookie?!

#SuperBowl on NBC https://t.co/4LGdtPQz0i",SuperBowl,False
252,2022-02-20,1495473381080248320,SportyDude7,SportyDude,"The larger the tournament, the more comfortable I truly feel. #americanfootball #football #nfl #sports… https://t.co/ZTJEVTFWhD",SuperBowl,False
253,2022-02-20,1495473365670318087,ArizonaIMT,Socialist Revolution - Arizona,The revolution will liberate sport from the shackles of class society. Gone will be the capitalistic framework that… https://t.co/G7T72pONtl,SuperBowl,False
254,2022-02-20,1495473359471230978,MolessaGene,Geno,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,False
255,2022-02-20,1495473330710843396,USATSportsPlus,USA TODAY Sports+,"#SuperBowl 2022 rewind with #NFL insiders @TheTylerDragon and @Safid_Deen.

🎧Listen wherever you get your podcasts https://t.co/Yw5LI9Ujrf",SuperBowl,False
256,2022-02-20,1495473326256316417,NewGenFarmer,Next Generation Farmer,"Did you see the @ilcorn #SuperBowl commercial? 
Alexis Hartman from Illinois, spoke about corn, science and sustain… https://t.co/vEYWnrhiLt",SuperBowl,False
257,2022-02-20,1495473302273507336,kyleddoody,kdoody,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,True
258,2022-02-20,1495473108513398785,heartscaged,𝖈✩,RT @patsdeutsch: Throwback: Jakob und Sebastian in prominenter Begleitung beim #SuperBowl! 😍 (via @heidiklum) https://t.co/Z3RcIZ0IiW,SuperBowl,False
259,2022-02-20,1495473064699703305,OliverOL10,OLiver OL N° 19 🌃🇨🇵🇩🇪,"RT @Mustapha_MCS: ça se passe de commentaire 🔥
Avec un petit clin d'œil à 2Pac 🙏""West Coast""💪
#SuperBowl #DrDre #Eminem #SnoopDogg https://…",SuperBowl,False
260,2022-02-20,1495473031766024199,dewayneburberr,Drivers Burberry,RT @TrustWallet: Coinbase marketing be like 😑 #SuperBowl https://t.co/LCpaxJCzpZ,SuperBowl,False
261,2022-02-20,1495472655310405637,GaryEHays,STEELERS TIME! HAYS,@NFL #nfl #joeburrow @JoeyB @Bengals #Bengals @SuperBowl #SuperBowl 😎 https://t.co/kBQmE51BTE,SuperBowl,False
262,2022-02-20,1495472589166178304,roso1954,カモノハシ,RT @tina_baines: #SuperBowl #SBLVI https://t.co/jtGUzujD6C,SuperBowl,False
263,2022-02-20,1495472449307090945,kylegoon,Kyle Goon,RT @KevinModesti: The @ladailynews' book reliving the #Rams' #SuperBowl-winning season is in stores and can be ordered online. Writing by @…,SuperBowl,True
264,2022-02-20,1495472354797002753,MSpacestar09,Miraspacestar09 /Mira.spacestar09,"RT @kennychesney: Happy #superbowl, @noshoesnation. Can’t believe I’ll be playing this stadium on the #HereAndNowTour in July. @SoFiStadium…",SuperBowl,False
265,2022-02-20,1495471915649179648,Yusuf198o,Yeşil 1980,"RT @ChrisCharlotteG: Haha! Just like the #SuperBowl, there should be a season of puppy activities leading up to the #Puppy Bowl. 🐾 https://…",SuperBowl,True
266,2022-02-20,1495471761315540999,betterjobsearch,The Job Guy,"RT @Marketing2Conv1: How #marketers used the #SuperBowl to influence fans on #socialmedia and search
https://t.co/SrXklkyfo1
#businessnews…",SuperBowl,False
267,2022-02-20,1495471637365506050,LizVicBo,Dr. L🎉Z 🐶☘,RT @EmbassyOfHaiti: Congratulations to Sony Michel and the LA Rams 🇭🇹@Flyguy2stackz @RamsNFL #SuperBowl https://t.co/eYNPoziR6e,SuperBowl,False
268,2022-02-20,1495471584315940864,_BumWine,Bum Wine,"RT @_BumWine: Need some extra spice for your #SuperBowl party? Could Smirnoff Ice Spicy Tamarind be the answer? Tune in before, during, or…",SuperBowl,False
269,2022-02-20,1495471573440118784,wwttpod,Wrestling With The Truth Podcast🎙,"RT @ovi_hhwshow: All 4 Downs Podcast come to a season end.  But the small highlight reel is proof.  ""I told you.""  

#NFL #SuperBowl #RamsH…",SuperBowl,False
270,2022-02-20,1495471541106184199,Woof2017,Golden Retrievers ❤️,"RT @ChrisCharlotteG: Haha! Just like the #SuperBowl, there should be a season of puppy activities leading up to the #Puppy Bowl. 🐾 https://…",SuperBowl,True
271,2022-02-20,1495471493391732739,ElsaC76,Vegan_4life 𓃟 #Pigoneer,RT @NguyenSylvie5: #Foodie #GoVegan #TwentyFiveTwentyOne #KhanBrook #YuzuruHanyu #JamesFaulkner #primemma #SuperBowl #COVID19 @afpfr @Reute…,SuperBowl,False
272,2022-02-20,1495471480829788164,wwttpod,Wrestling With The Truth Podcast🎙,"RT @BrainBusterBoys: Hey everybody

We're back to cap off the #Bengals' amazing #SuperBowl run that fell short &amp; the #CodyRhodes news &amp; wha…",SuperBowl,False
273,2022-02-20,1495471455311699971,thatsmyrickname,Go bills,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,False
274,2022-02-20,1495471378694295555,oka4or,Akpi300,"RT @GalaxyImbecile: had to make a superbowl 50cent

@SmolBrainsNFT x @50cent

#50cent #superbowl #ahhrealmonsters #smolbrains #smolverse #s…",SuperBowl,True
275,2022-02-20,1495471337699119104,crimeshutterbug,Doug Saunders,RT @KevinModesti: The @ladailynews' book reliving the #Rams' #SuperBowl-winning season is in stores and can be ordered online. Writing by @…,SuperBowl,True
276,2022-02-20,1495471291243106306,_leil1,BAN,RT @WeekndAccess: .@theweeknd at night after #SuperBowl. https://t.co/pMEK26D6Gr,SuperBowl,False
277,2022-02-20,1495471283919851521,80rockstar,80rockstar,RT @TheView: From her historic #SuperBowl halftime performance that she calls “one of the most important roles and accomplishments” in her…,SuperBowl,False
278,2022-02-20,1495471268350488577,WillLesterPhoto,Will Lester,RT @KevinModesti: The @ladailynews' book reliving the #Rams' #SuperBowl-winning season is in stores and can be ordered online. Writing by @…,SuperBowl,True
279,2022-02-20,1495471236742328324,TGCRams,ThegulfcoastRams,"RT @RamsBrothers: 2 similar moments in #SuperBowl history, 33 years apart. Sean McVay is a known admirer of Bill Walsh. He knew Kupp needed…",SuperBowl,False
280,2022-02-20,1495471184514891787,mimichard417,Mimi,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,True
281,2022-02-20,1495471148099796995,King1Nine,M.G.,I notice folks that NEVER have a problem with country music artists playing at the #DAYTONA500 have a problem with… https://t.co/aJApHbdffl,SuperBowl,True
282,2022-02-20,1495471134959013892,StnedToTheBone,SUPER BOWL CHAMPS - E*0D 🅿️,"RT @RamsBrothers: 2 similar moments in #SuperBowl history, 33 years apart. Sean McVay is a known admirer of Bill Walsh. He knew Kupp needed…",SuperBowl,False
283,2022-02-20,1495471097172660228,MarketingTweetx,Marketing Bot,"RT @Marketing2Conv1: How #marketers used the #SuperBowl to influence fans on #socialmedia and search
https://t.co/SrXklkyfo1
#businessnews…",SuperBowl,False
284,2022-02-20,1495471074439569421,Marketing2Conv1,Marketing 2 Conversion,"How #marketers used the #SuperBowl to influence fans on #socialmedia and search
https://t.co/SrXklkyfo1… https://t.co/qDU2wPYQvl",SuperBowl,False
285,2022-02-20,1495471003975438336,twistednavel,けい,"RT @eigacom: “ロック様”ことドウェイン・ジョンソン（@THEROCK.）による、アメリカ最大のスポーツイベント第56回スーパーボウルの開会宣言❗　力強い‼

大作映画の特別予告が放送されることでも話題の大会です。追って、関連動画をご紹介します。#SuperBowl…",SuperBowl,False
286,2022-02-20,1495471003593584644,Chida21_187,TBA,@SportsCenter is trash after the #SuperBowl now you got to wait on the #NBAPlayoffs for some mad action,SuperBowl,False
287,2022-02-20,1495470447302832129,JavierMontesXXX,Javier Montes,RT @Pixel_Pixie_ca: Yup I'm excited!!!! #superbowl #larams #stafford Im predicting a 4th quarter winning touch down in the last minute by M…,SuperBowl,False
288,2022-02-20,1495470405791928324,SLT229,Susan Thompson,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,False
289,2022-02-20,1495469977155088388,oliveracuna,Oliver Acuña,"#Superbowl Va al choque con Garcés, no mira ni siquiera el balón. Penal. https://t.co/pn3jd7PL85",SuperBowl,True
290,2022-02-20,1495469948130541568,kkopacz1,Kathy Kopacz MS,"#SuperBowl 2022 attracted more than 112 million viewers but failed to top record @CNBC @JabariJYoung 

Super Bowl r… https://t.co/BzNM4ZFR4s",SuperBowl,True
291,2022-02-20,1495469945907470339,sacha_bhn,💲 𝖆𝖈𝖍𝖆,RT @Goaldorak2: Ca reste quand même le meilleur beat de tous les temps #SuperBowl https://t.co/ush2rlWtq6,SuperBowl,False
292,2022-02-20,1495469877817221122,GabrielAranda77,Gabriel Aranda,"RT @Paris2024: On était ""Crazy in love"" devant @Martinfkde 🤩
On a aussi quelques idées en réserve pour que ce ne soit pas du ""Déjà vu” 👀

#…",SuperBowl,True
293,2022-02-20,1495469763870474240,trs_fahad,F A H A D 🇺🇸 🦅 🇸🇦,"RT @marshallclips: eminem performing the classic “lose yourself” at the pepsi super bowl lvi halfime show. 🔥💯 #eminem 

#pepsihalftime   #s…",SuperBowl,True
294,2022-02-20,1495469743410753540,debbiethetexan,Debbie the Texan-Texans Fan of the Year,RT @ronNcaphill: Just a week ago today - on the #SuperBowl field at #SoFiStadium with 31 #NFL #FanOfTheYear friends. (I 👀 you @Des_Tuh_Nee8…,SuperBowl,True
295,2022-02-20,1495469415382536199,alexstroman,Alex Stroman,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,True
296,2022-02-20,1495469308079751168,CriptoOmarD,CriptOmarD,"RT @SoccerPunksFC: Snoop Dogg Superbowl Soccer Punk 1/1 Giveaway🐶

🔥 Like, RT + Tag Frens
🔥 Winner in 24 hours
🎉 React to join: https://t.c…",SuperBowl,False
297,2022-02-20,1495469174440837120,LmnnESTE,LMNN,RT @luskosky: l’entrée est légendaire #SuperBowl https://t.co/8M43JbGk0L,SuperBowl,False
298,2022-02-20,1495469143402950663,cacotter,"Welcome back, 😷 Cotter","RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,True
299,2022-02-20,1495469103418687494,KezzaMurchu,Kerri Murchú,"RT @Gardiner_Bros: It's the D.O.G.G. Bros 🔥

Who's looking forward to the Superbowl @pepsi Halftime show this Sunday!? We definitely can't…",SuperBowl,False
